Game	GameID	Players	Rounds	Turns	Ticks	P0_Score	P0_Ordinal	P0_Type	P1_Score	P1_Ordinal	P1_Type	P2_Score	P2_Ordinal	P2_Type	P3_Score	P3_Ordinal	P3_Type	P4_Score	P4_Ordinal	P4_Type	P5_Score	P5_Ordinal	P5_Type	P6_Score	P6_Ordinal	P6_Type	P7_Score	P7_Ordinal	P7_Type	P8_Score	P8_Ordinal	P8_Type
SushiGo	39	2	2	55	58	45.0	1	BasicMCTS	39.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	40	2	2	55	58	36.0	2	BasicMCTS	56.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	41	2	2	55	64	53.0	1	BasicMCTS	53.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	42	2	2	55	60	46.0	2	BasicMCTS	64.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	43	2	2	55	58	38.0	1	BasicMCTS	34.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	44	2	2	55	58	49.0	1	BasicMCTS	41.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	45	2	2	55	58	54.0	2	BasicMCTS	55.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	46	2	2	55	58	47.0	2	BasicMCTS	50.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	47	2	2	55	60	32.0	2	BasicMCTS	54.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	48	2	2	55	60	52.0	1	BasicMCTS	47.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	49	2	2	55	58	39.0	2	BasicMCTS	45.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	50	2	2	55	58	42.0	2	BasicMCTS	57.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	51	2	2	55	58	53.0	1	BasicMCTS	47.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	52	2	2	55	64	33.0	2	BasicMCTS	53.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	53	2	2	55	58	46.0	1	BasicMCTS	45.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	54	2	2	55	58	47.0	2	BasicMCTS	67.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	55	2	2	55	58	53.0	1	BasicMCTS	47.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	56	2	2	55	58	55.0	1	BasicMCTS	41.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	57	2	2	55	62	39.0	2	BasicMCTS	58.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	58	2	2	55	58	51.0	1	BasicMCTS	36.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	59	2	2	55	62	45.0	2	BasicMCTS	54.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	60	2	2	55	58	53.0	2	BasicMCTS	57.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	61	2	2	55	62	29.0	2	BasicMCTS	62.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	62	2	2	55	60	57.0	1	BasicMCTS	44.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	63	2	2	55	58	47.0	2	BasicMCTS	59.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	64	2	2	55	60	50.0	2	BasicMCTS	60.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	65	2	2	55	58	50.0	1	BasicMCTS	45.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	66	2	2	55	60	37.0	2	BasicMCTS	62.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	67	2	2	55	60	47.0	2	BasicMCTS	55.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	68	2	2	55	58	64.0	1	BasicMCTS	54.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	69	2	2	55	58	39.0	2	BasicMCTS	46.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	70	2	2	55	62	47.0	2	BasicMCTS	63.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	71	2	2	55	62	42.0	2	BasicMCTS	55.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	72	2	2	55	60	44.0	2	BasicMCTS	53.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	73	2	2	55	58	53.0	1	BasicMCTS	37.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	74	2	2	55	60	38.0	2	BasicMCTS	57.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
